Jul  5 23:38:16 node7 kernel: imklog 5.8.6, log source = /proc/kmsg started.
Jul  5 23:38:16 node7 rsyslogd: [origin software="rsyslogd" swVersion="5.8.6" x-pid="962" x-info="http://www.rsyslog.com"] start
Jul  5 23:38:16 node7 rsyslogd: rsyslogd's groupid changed to 103
Jul  5 23:38:16 node7 rsyslogd: rsyslogd's userid changed to 101
Jul  5 23:38:16 node7 rsyslogd-2039: Could not open output pipe '/dev/xconsole' [try http://www.rsyslog.com/e/2039 ]
Jul  5 23:38:16 node7 kernel: [    0.000000] Initializing cgroup subsys cpuset
Jul  5 23:38:16 node7 kernel: [    0.000000] Initializing cgroup subsys cpu
Jul  5 23:38:16 node7 kernel: [    0.000000] Linux version 3.5.0-23-generic (buildd@komainu) (gcc version 4.6.3 (Ubuntu/Linaro 4.6.3-1ubuntu5) ) #35~precise1-Ubuntu SMP Fri Jan 25 17:13:26 UTC 2013 (Ubuntu 3.5.0-23.35~precise1-generic 3.5.7.2)
Jul  5 23:38:16 node7 kernel: [    0.000000] Command line: BOOT_IMAGE=/boot/vmlinuz-3.5.0-23-generic root=UUID=0f81f3d1-4b7a-4d21-a2d2-5c25f323c06a ro quiet splash vt.handoff=7
Jul  5 23:38:16 node7 kernel: [    0.000000] KERNEL supported cpus:
Jul  5 23:38:16 node7 kernel: [    0.000000]   Intel GenuineIntel
Jul  5 23:38:16 node7 kernel: [    0.000000]   AMD AuthenticAMD
Jul  5 23:38:16 node7 kernel: [    0.000000]   Centaur CentaurHauls
Jul  5 23:38:16 node7 kernel: [    0.000000] e820: BIOS-provided physical RAM map:
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x0000000000000000-0x000000000009ffff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x0000000000100000-0x00000000c8e84fff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000c8e85000-0x00000000c9e84fff] reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000c9e85000-0x00000000db573fff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000db574000-0x00000000db870fff] reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000db871000-0x00000000db90cfff] ACPI data
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000db90d000-0x00000000dba81fff] ACPI NVS
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000dba82000-0x00000000dbb72fff] reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000dbb73000-0x00000000dbb73fff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000dbb74000-0x00000000dbbf6fff] ACPI NVS
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000dbbf7000-0x00000000dbffffff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000f0000000-0x00000000f7ffffff] reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000fed1c000-0x00000000fed1ffff] reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x00000000ff000000-0x00000000ffffffff] reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] BIOS-e820: [mem 0x0000000100000000-0x000000011fffffff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] NX (Execute Disable) protection: active
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: EFI v2.31 by American Megatrends
